Species,BG_Color,Spot_Color,Spots
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Chilocorus stigma,Black,Red,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Coccinella septempunctata,Red,Black,T
Harmonia axyridis,DarkRed,NA,F
Harmonia axyridis,DarkRed,Black,T
Harmonia axyridis,Red,Black,T
Harmonia axyridis,Red,Black,T
Harmonia axyridis,Red,NA,F
Harmonia axyridis,Red,NA,F
Harmonia axyridis,Red,Black,T
Harmonia axyridis,Red,Black,T
Harmonia axyridis,Red,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,NA,F
Harmonia axyridis,Orange,NA,F
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,NA,F
Harmonia axyridis,Orange,NA,F
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,Black,T
Harmonia axyridis,Orange,NA,F
Harmonia axyridis,Orange,Black,T
